Rating Definition,Language,AUC score - Overall,NDCG@5 Score - User Level,NDCG@10 Score - User Level,AUC score - User Level,MAPK@5 score - User Level,MAPK@10 score - User Level
is_vp_succ,Punjabi,0.8164778518521232,0.700466373496126,0.6497926980708473,0.7580804244657238,0.5985010000000052,0.5047614424603143
is_like,Punjabi,0.9150987047134602,0.5630814479113738,0.5378488733007082,0.6642649204257497,0.45614500000002284,0.3964026388888917
is_vp_skip,Punjabi,0.7202888227111075,0.6283773842443404,0.5969386931501229,0.6559571146460569,0.5181213333333509,0.44787426785714224
is_vp_succ2,Punjabi,0.7985250103874072,0.6815591168157085,0.6354745099579577,0.7531884729771805,0.5753436666666736,0.48690303968253873
is_vp_succ,Bengali,0.8337941739938396,0.6562220306492895,0.6191141591974547,0.7706389037231236,0.5464020000000135,0.46908105357143076
is_like,Bengali,0.9090568275282754,0.5644379784706429,0.5355259342725196,0.6748880812265505,0.4560230000000229,0.3914645555555586
is_vp_skip,Bengali,0.723091328815719,0.6487617814220465,0.6164164721303499,0.660216976839461,0.5420375000000126,0.4705822420634933
is_vp_succ2,Bengali,0.8268374671864305,0.6711820773299869,0.6351453090851299,0.7799650806748462,0.5650425000000084,0.48901896626984037
is_vp_succ,Malayalam,0.8577154675050759,0.6873998613164682,0.6469050484855576,0.7849272129641961,0.5864658333333365,0.5060838115079355
is_like,Malayalam,0.9232582018646119,0.5469312007452541,0.5230448457464179,0.6761085421236285,0.4390445000000203,0.3799994841269874
is_vp_skip,Malayalam,0.7405574350409984,0.7514488873335425,0.7149175876988124,0.6777488307771027,0.6625478333333249,0.587823726190474
is_vp_succ2,Malayalam,0.8414658772098613,0.6682201452530999,0.6287009067555318,0.7723605237300316,0.5633265000000126,0.4846268650793667
