Language,Rating Definition,mapping,referrer_auc,no_referrer_auc,number_of_samples,refferer
Malayalam,is_vp_succ,2570566,0.8377216646423993,0.8383413629537778,52355771,profilepost
Malayalam,is_vp_succ,2570568,0.8900230374422294,0.882214548939879,52355771,trendingfeed
Malayalam,is_like,1062614,0.910552982432611,0.9103050365338656,33462834,bucket
Malayalam,is_like,1062615,0.9173084793178807,0.916828728571397,33462834,others
Malayalam,is_like,1062617,0.9164105569127844,0.9152712296170921,33462834,tagfeed
Malayalam,is_like,1062620,0.9034882144009441,0.8988959307212963,33462834,videofeed
Malayalam,is_like,1062616,0.8943240811593456,0.8966178911529918,33462834,profilepost
Malayalam,is_like,1062618,0.9112718641801325,0.9084702873855033,33462834,trendingfeed
Malayalam,is_like,1062621,0.9184207347549987,0.9174022177522461,33462834,videofeed_suggested
Malayalam,is_like,1062619,0.9269757773468892,0.926249173405101,33462834,trendingfeed_suggested
Malayalam,is_vp_skip,2882266,0.7139211543594997,0.7081224861357867,55346295,profilepost
Malayalam,is_vp_skip,2882269,0.737196956058676,0.733661580675779,55346295,trendingfeed_suggested
Malayalam,is_vp_skip,2882270,0.6894540158262782,0.6605230834813984,55346295,videofeed
Malayalam,is_vp_skip,2882264,0.7191761713476862,0.7181690836697052,55346295,bucket
Malayalam,is_vp_skip,2882271,0.7265115237073321,0.723231284581619,55346295,videofeed_suggested
Malayalam,is_vp_skip,2882265,0.7356149344407615,0.7343090058313035,55346295,others
Malayalam,is_vp_skip,2882268,0.7097331592263301,0.6741901172433519,55346295,trendingfeed
Malayalam,is_vp_skip,2882267,0.7356388572512081,0.7336701025110439,55346295,tagfeed
Malayalam,is_vp_succ2,2674795,0.8198829167037859,0.8211829552238612,54673189,others
Malayalam,is_vp_succ2,2674801,0.8260411829907779,0.8251959218180204,54673189,videofeed_suggested
Malayalam,is_vp_succ2,2674799,0.8403098832192754,0.8395389719483245,54673189,trendingfeed_suggested
Malayalam,is_vp_succ2,2674797,0.8257059219060765,0.826244889086943,54673189,tagfeed
Malayalam,is_vp_succ2,2674800,0.8131659286395749,0.8013708339459951,54673189,videofeed
Malayalam,is_vp_succ2,2674798,0.853022468040616,0.8426398844720051,54673189,trendingfeed
Malayalam,is_vp_succ2,2674794,0.8184603077372672,0.8189636721720204,54673189,bucket
Malayalam,is_vp_succ2,2674796,0.8232655907017024,0.8230503082356174,54673189,profilepost
