User Context,Content Type,Language,Action Type,Bucket,Num Bucket Samples,AUC score,AUC score - User Level,NDCG@5 Score - User Level,NDCG@10 Score - User Level,MAPK@5 score - User Level,MAPK@10 score - User Level
actionTime,video,Hindi,like,1,4608011,0.7752620392297109,0.6491406178240883,0.48204774204415535,0.5364889415306284,0.3950745416666653,0.4203004480426388
actionTime,video,Hindi,like,2,9407093,0.8308082562338099,0.6706445432905148,0.42341629294397526,0.4771972150443915,0.3428422777777805,0.3651424237922023
actionTime,video,Hindi,like,3,14011965,0.858310923667428,0.6719078421071478,0.3930367513634512,0.44254415257558777,0.31581037500000314,0.33459484416729646
actionTime,video,Hindi,like,4,20681123,0.8773616442058634,0.6722389154046935,0.3648527224781806,0.41406415789663714,0.29048170833333586,0.30859172933988643
actionTime,video,Hindi,like,5,28202116,0.8912443815853667,0.6725391056313686,0.3469358648918838,0.39050875185974854,0.2761576250000011,0.2898300210695394
actionTime,video,Hindi,like,6,38697044,0.901360595049236,0.6722326989915276,0.32139616903199936,0.3612379075147526,0.2524873472222248,0.2635351341726533
actionTime,video,Hindi,like,7,51680055,0.9095008807425944,0.6710163275831779,0.2962194753204115,0.33209419133605617,0.23042437500000346,0.23827215441547114
actionTime,video,Hindi,like,8,68212579,0.9164583084309762,0.6668521530521776,0.27115901134822035,0.301217577484645,0.20934943055555633,0.21358221376606407
actionTime,video,Hindi,like,9,102904577,0.9223830135394209,0.6663937496147857,0.24214128061414894,0.26700654162532894,0.1840251805555559,0.18456798850466227
actionTime,video,Hindi,like,10,195296044,0.9294826267890888,0.6531846873013125,0.18914605076932106,0.2046856308709992,0.13948412499999924,0.13561348566232126
actionTime,video,Hindi,vplay2,1,6841216,0.7719607168035285,0.732915505003444,0.6348983892642264,0.6761200832105796,0.5397109583333427,0.556469847781245
actionTime,video,Hindi,vplay2,2,10872775,0.7791825438927176,0.7371177547451346,0.6130780688539117,0.653307327239969,0.5167803194444548,0.5307233019101187
actionTime,video,Hindi,vplay2,3,14854385,0.7853960109536657,0.7359774222157088,0.5965138573322746,0.6396253291442862,0.49911065277778605,0.5141504029116322
actionTime,video,Hindi,vplay2,4,21658196,0.791992450947078,0.7417446620691752,0.5893527442133013,0.6297576197176762,0.49099133333334477,0.5029572783446723
actionTime,video,Hindi,vplay2,5,30871760,0.7974963006283511,0.7456350144439317,0.5848208836892145,0.6242285144792269,0.48633347222223483,0.49609464710097
actionTime,video,Hindi,vplay2,6,42487280,0.8022989315612467,0.7472922429223317,0.576640931709689,0.6122786021720114,0.47584944444445654,0.4810935439814831
actionTime,video,Hindi,vplay2,7,59817242,0.8056742330090413,0.7505442864319151,0.5686769646089533,0.5992662226505243,0.46635258333334967,0.46534835956002646
actionTime,video,Hindi,vplay2,8,92092206,0.8086887364964274,0.7568616091373678,0.5598605741783439,0.5851985249843743,0.4565137361111264,0.44902092764235374
actionTime,video,Hindi,vplay2,9,143347384,0.8111745691453991,0.762082498151143,0.5454527290337039,0.5595365334312313,0.4397996388889049,0.4194899535856026
actionTime,video,Hindi,vplay2,10,345662923,0.8147763531391035,0.763537601069726,0.5206903476444561,0.517687897884035,0.4112135416666868,0.3731881354560344
